  time    PosLHipYaw    VelLHipYaw     ForLHipYaw    PosLHipPitch    VelLHipPitch    ForLHipPitch    PosLHipRoll    VelLHipRoll    ForLHipRoll      PosLKnee      VelLKnee      ForLKnee    PosLAnklePitch    VelLAnklePitch    ForLAnklePitch    PosLAnkleRoll    VelLAnkleRoll    ForLAnkleRoll    PosRHipYaw    VelRHipYaw    ForRHipYaw    PosRHipPitch    VelRHipPitch    ForRHipPitch    PosRHipRoll    VelRHipRoll    ForRHipRoll      PosRKnee      VelRKnee     ForRKnee    PosRAnklePitch    VelRAnklePitch    ForRAnklePitch    PosRAnkleRoll    VelRAnkleRoll    ForRAnkleRoll
  0.8   -1.60813e-06   8.57291e-07   -0.0427078      -0.796681       -5.72417          9.60137      -0.000242267   -0.0117177      -0.200032     1.25664       6.28317       -4.42169         -1.02823          -1.44451             1.45905        0.000430408     -0.00188574      -0.0194       -5.36227e-09  -1.68257e-07  -0.244487       -0.841892       -5.84466          12.1206       0.0114838     -0.00521262      -0.711343    1.25664       6.28317       -4.0154         -1.02793          -1.45104            1.94284         0.000430408     -0.00188574      -0.0194
  0.85   0.00602977    0.787731       0.265796       -1.07057        -4.56715        -12.959        -0.000365367    0.244739       -0.0892798    1.56899       5.98512      -17.1352          -1.07217          -0.56851            -2.91747       -0.000147547     -0.0223063        0.00641427   -0.0164058    -0.676317     -2.49951        -1.07986        -3.71666         -14.6961       0.0173828      0.321369        -3.28516     1.56091       5.56109      -21.4889         -1.07162          -0.455785          -5.07463        -0.000147547     -0.0223063        0.00641427
  0.9    0.0383165     0.450138       1.41238        -1.18917        -0.63777         -3.54033      -0.0075249     -0.0435791      -0.802539     1.85406       5.94175      -29.5625          -1.0867           -0.233793          -10.5589        -0.000110746     -0.0361909        0.0738736    -0.0448938    -0.287217     -3.81124        -1.17461        -0.582576        -11.3156       0.0570803      0.852036        -6.50628     1.81986       5.45478      -30              -1.08663          -0.16253          -10.8245         -0.000110746     -0.0361909        0.0738736
  0.95   0.037135     -0.539222       0.934607       -1.12191         2.75564         19.5969       -0.0127066     -0.12918        -2.76848      2.10942       3.54233       -8.75234         -1.09131          -0.0212908          -3.09367       -0.000803671     -0.00918525      -0.129328     -0.0416537     0.488478     -1.16004        -1.1274          3.46709          15.361        0.0929968     -0.0945316       -0.255596    2.08867       3.99652      -13.7635         -1.09104          -0.0321389         -3.66966        -0.000803671     -0.00918525      -0.129328
  1      0.0118942    -0.313453       0.0674602      -0.993447        2.11355         30            -0.00279762     0.0813888      -0.916994     2.21499       1.24269        6.53161         -1.091             0.0117779           5.79859       -0.000854193      0.00569505      -0.190795     -0.0145329     0.383774      3.24009        -0.967394        2.88031          30            0.0618849     -0.717173         5.33202     2.20849       1.42403        5.69252        -1.09055           0.0224114          5.48011        -0.000854193      0.00569505      -0.190795
  1.05   0.00262358   -0.11129        0.576479       -0.940426        0.13094         30            -0.000364618    0.034184        1.22011      2.25001       0.386811       4.31536         -1.0901            0.0208378           5.86976       -0.000479049      0.007122         0.0872462    -0.00318164    0.136268      1.71781        -0.875193        0.861348         30            0.0249876     -0.758819         2.42785     2.24887       0.451041       4.2037         -1.08965           0.0170231          5.96713        -0.000479049      0.007122         0.0872462
  1.1   -0.00065144   -0.0389955      0.980522       -0.99383        -1.62202         22.1319        0.000798544    0.00088251      1.76968      2.25969       0.0821114      0.0200565       -1.08842           0.0165939           3.82944        0.000419607      0.00638282       0.148716      0.000828133   0.0477384     0.328713       -0.905653       -2.94408          29.7172      -0.00737417    -0.261068        -1.20206     2.26044       0.104523       2.47056        -1.08855           0.0436306          5.50061         0.000419607      0.00638282       0.148716
  1.15   0.00706161    0.233528       0.165741       -1.06327        -0.973989        10.7222        0.00432406     0.128556        0.667029     2.25739      -0.0983239     -7.81009         -1.08831           0.000905991        -1.25509        0.000215605     -0.00839211       0.123371     -0.0043865    -0.286074     -2.17301        -1.02255        -1.93455          17.5689      -0.0129366      0.298464        -3.82864     2.25978      -0.0998498     -4.40535        -1.08793          -0.00948907         1.3903          0.000215605     -0.00839211       0.123371
  1.2    0.0157547     0.10038       -0.659044       -1.08394        -0.0107765       14.9235        0.00503178     0.0177124      -1.14759      2.25173      -0.0983239     -9.50363         -1.08789           0.0169039          -2.40983       -0.000216634     -0.00599456      -0.05767      -0.0186338    -0.21177      -2.06394        -1.08882        -0.753022         16.3707       0.0164479      0.771461        -4.63897     2.25267      -0.123406     -11.9581         -1.08853          -0.00562668        -3.73523        -0.000216634     -0.00599456      -0.05767
  1.25   0.00602127   -0.201429      -0.288652       -0.967086        4.05128        -28.545         0.000459624   -0.0624823      -1.19817      1.98039      -6.28324        2.92898         -0.775201          6.23001            -5.94319       -0.000314209     -0.0108087       -0.110406     -0.0100619     0.305447      0.8009         -0.956391        4.56734         -29.3877       0.0206262     -0.4181           0.453142    1.97223      -6.28317        0.0640556      -0.776897          6.23199           -7.56733        -0.000314209     -0.0108087       -0.110406
